feature,importance,kind
CFO,0.33491613720132946,native_importance
CFI,0.17762706565337236,native_importance
CFF,0.14664167349233515,native_importance
CFO_lag1,0.09237148503005954,native_importance
CFI_lag1,0.0437004886476822,native_importance
CFF_lag1,0.02564341061980109,native_importance
Net Profit,0.01881850294602897,native_importance
Operating Profit,0.01809302031228892,native_importance
Total Assets,0.01431180937944424,native_importance
CFO_lag2,0.014220544437447202,native_importance
CFO_roll4_median,0.012463727855098933,native_importance
CFO_roll4_mean,0.012109113814825115,native_importance
Borrowings,0.012026627416674946,native_importance
Equity,0.011043644813492633,native_importance
Net Cash Flow,0.006515984849411266,native_importance
fx_x_sales,0.006274514178563152,native_importance
oil_x_sales,0.005704020143660412,native_importance
repo_x_total_assets,0.005637362296112317,native_importance
Sales,0.004263572917932494,native_importance
Total Liabilities,0.003653787979811164,native_importance
cpi_infl_x_sales,0.0032621974564656197,native_importance
Expenses,0.00261910887140172,native_importance
repo_x_borrowings,0.002453267846461781,native_importance
CFI_lag2,0.002350885543929841,native_importance
Net Cash Flow_lag1,0.0007910084628616725,native_importance
Sector_Banking,0.0007840874021561594,native_importance
CFO_qoq_growth,0.0007552524210473467,native_importance
Operating Profit_qoq_growth,0.0006637200738390771,native_importance
Sales_qoq_growth,0.0006165074884373274,native_importance
Operating Profit_lag1,0.0005336430167276382,native_importance
Net Profit_qoq_growth,0.0005274174741258642,native_importance
Sector_Tech,0.0005076786316876794,native_importance
Total Assets_lag1,0.0004951292799147134,native_importance
Sector_Energy,0.0004769672830112427,native_importance
Total Assets_qoq_growth,0.0004565294210170202,native_importance
CFF_lag2,0.00042512828369767363,native_importance
Net Profit_lag1,0.00040459783086986735,native_importance
Borrowings_qoq_growth,0.0004027102110234356,native_importance
Sales_roll4_std,0.0003804186036662404,native_importance
Total Assets_roll4_std,0.0003512330088680471,native_importance
Net Cash Flow_lag2,0.00033086697006518717,native_importance
Operating Profit_roll4_std,0.00032381945771771734,native_importance
Sector_Auto,0.0003205651277723768,native_importance
